iter	Passed	Remaining
834	1767	349
835	1768	346
836	1770	344
837	1772	342
838	1774	340
839	1776	338
840	1777	336
841	1779	333
842	1780	331
843	1782	329
844	1783	327
845	1784	324
846	1787	322
847	1789	320
848	1790	318
849	1792	316
850	1793	313
851	1795	311
852	1796	309
853	1797	307
854	1798	305
855	1799	302
856	1801	300
857	1803	298
858	1805	296
859	1806	294
860	1807	291
861	1809	289
862	1810	287
863	1811	285
864	1813	283
865	1814	280
866	1817	278
867	1819	276
868	1820	274
869	1822	272
870	1823	270
871	1824	267
872	1826	265
873	1827	263
874	1828	261
875	1829	258
876	1832	257
877	1834	254
878	1835	252
879	1836	250
880	1837	248
881	1839	246
882	1840	243
883	1841	241
884	1843	239
885	1844	237
886	1847	235
887	1848	233
888	1850	230
889	1851	228
890	1852	226
891	1853	224
892	1855	222
893	1856	220
894	1857	217
895	1859	215
896	1861	213
897	1863	211
898	1864	209
899	1865	207
900	1866	205
901	1868	202
902	1869	200
903	1870	198
904	1872	196
905	1873	194
906	1877	192
907	1879	190
908	1880	188
909	1882	186
910	1884	184
911	1885	181
912	1886	179
913	1888	177
914	1891	175
915	1892	173
916	1894	171
917	1895	169
918	1897	167
919	1898	165
920	1899	162
921	1902	160
922	1903	158
923	1907	156
924	1909	154
925	1910	152
926	1911	150
927	1913	148
928	1914	146
929	1915	144
930	1916	142
931	1917	139
932	1919	137
933	1922	135
934	1923	133
935	1924	131
936	1926	129
937	1927	127
938	1928	125
939	1929	123
940	1930	121
941	1932	118
942	1933	116
943	1937	114
944	1938	112
945	1940	110
946	1941	108
947	1942	106
948	1944	104
949	1946	102
950	1947	100
951	1948	98
952	1953	96
953	1955	94
954	1957	92
955	1958	90
956	1960	88
957	1961	86
958	1965	84
959	1969	82
960	1970	79
961	1971	77
962	1973	75
963	1975	73
964	1976	71
965	1979	69
966	1981	67
967	1982	65
968	1984	63
969	1985	61
970	1987	59
971	1988	57
972	1989	55
973	1990	53
974	1994	51
975	1996	49
976	1998	47
977	1999	44
978	2001	42
979	2002	40
980	2004	38
981	2006	36
982	2009	34
